"gloss","target_child_sex"
"and you have a sheriff's truck xxx they work out of the police station too sheriff's trucks","male"
"you like George and George isn't a train oh you like trucks","male"
"you like trucks trucks trucks","male"
"I like trucks","male"
"Salty likes trucks yeah","male"
"he was happy to see trucks at least there are some trucks here he said","male"
"George likes trucks too that's good you know why because George is a truck","male"
"he's looking at some truck huh","male"
"bonk he's bonking into some trucks","male"
"he's taking a ride on the truck","male"
"a caterpillar truck yup","male"
"you put it in the middle of two trucks oh that's interesting","male"
"half train half truck","male"
"well you know what caterpillars change into butterflies so a truck with caterpillar tracks can change into a train","male"
"I think a train should pull a milk tanker so that this milk truck can get some milk where's your milk tanker","male"
"he couldn't move the wave the trucks the way Salty can because he sang to them","male"
"or your trucks","male"
"for truck","male"
"no more tow+truck","male"
"pickup truck is going right around the edge","male"
"the truck's gonna knock it down okay there you go","male"
"should we play with your trucks","male"
"he's got a couple of trucks just like you do","male"
"and you like that truck","male"
"yeah you're right they're both dump+trucks","male"
"the other caterpillar truck","male"
"oh those are the sunglasses you made for the truck","male"
"just then Toby came by on an open truck","male"
"Percy rounded a bend and saw James ahead of him pulling two troublesome trucks","male"
"James was going very slowly because the trucks had their brakes on","male"
"we want to take the package said the troublesome trucks","male"
"with a sigh xxx he gave it to the trucks","male"
"no more trouble from you trucks said James","male"
"the trucks released their brakes","male"
"James and the trucks quickly left Percy behind","male"
"then we would need what kinda truck to clean the ice","male"
"xxx is the tow truck gonna tow you away","male"
"what kinda truck cleans the ice","male"
"and I'm gonna run after the tow truck and follow you wherever you go","male"
"xxx put the tow truck onto the wire xxx","male"
"the tow truck's towing me away","male"
"that's a snack truck yep in the book","male"
"I wanted to look at this book to see what that truck was","male"
"that's the grater so that truck you have in the other room I don't know what it is I guess you're right it's probably a digger","male"
"Toby was halfway across when disaster struck","male"
"good night trucks sleep tight","male"
"I see the tow truck pulling the pick+up truck out of the hole right","male"
"xxx was the pick+up truck stuck in a hole","male"
"what truck can help out","male"
"can a fire+truck help in this situation","male"
"it has a fire+truck inside and there's the fire+house dog waiting for the next fire","male"
"and there's where the truck comes out","male"
"the trucks are coming","male"
"hey you wanna read the tow truck story","male"
"my stuck truck won't go","male"
"or trucks","male"
"I guess the other trucks are made out of metal","male"
"roll poor Pilchert down with the tow truck","male"
"ride in the back of the tow truck","male"
"how about truck number two","male"
"in case a barrel truck comes by","male"
"the mail truck","male"
"what made you think of a mail truck","male"
"and a sports truck","male"
"hook the train up yeah sometimes a tow truck can hook the train up too","male"
"and your funny racing truck too","male"
"yeah your orange and white sports truck","male"
"yep we're gonna give those truck to William","male"
"Thomas likes to pull the milk truck","male"
"you could load him into one of the trucks","male"
"maybe the tow truck","male"
"should we collect all your trucks and put your trucks in the tray","male"
"now you have no trucks","male"
"it looks like you have a big tray full of trucks","male"
"you need a barrel truck","male"
"and I see you put the sock on the fire+truck","male"
"we need a car or a truck","male"
"Terrence is a truck","male"
"Thumper is a truck","male"
"they're all trucks they can try the new road","male"
"dump truck","male"
"round and round round and round the wheels on the taxi and the truck and the car","male"
"you funny truck","male"
"wanna you wanna hook it onto one of your trucks","male"
"which one the tow+truck","male"
"xxx find the tow+truck in there","male"
"fire+truck that belongs to the set","male"
"so the trucks are working hard","male"
"the tow+truck has a bigger hook","male"
"the tow+truck has a nice deep hook","male"
"but it could be a dump mix truck","male"
"a truck and a duck","female"
"but he's a truck with a magnet on the back","male"
"he's just a truck","male"
"you might have to use the other truck","male"
"there's another truck","male"
"here's a truck with a little bit bigger bucket","male"
"which truck","male"
"the dump+truck truck","male"
"that's the nicest truck that I've ever seen","male"
"it almost looked like one of your truck truck mouths","male"
"there's not many places to attach the rope to this dumptruck","male"
"xxx very mixed up trucks I'm very confused","male"
"let's move everything out of the way because Bob needs room to pull that truck","male"
"he's walking a truck instead of a dog","male"
"he's gotta be really strong to walk a truck doesn't he","male"
"you want the mixed up trucks","male"
"my truck","male"
"wanna wrap up your truck","male"
"who can make my stuck truck","male"
"stuck truck","male"
"what kinda truck comes next","male"
"hey it's a mixed up truck","male"
"the dumptruck will bring some xxx","male"
"that's a very pretty load and it matches the bed of the truck","male"
"xxx the loader had to lift all those pompoms and put it in the dump truck","male"
"there you go but what about the police truck","male"
"cuckoo everybody get out of the way the fire+truck's coming cuckoo","male"
"you wanna try to make a fire+truck","male"
"you wanna truck","male"
"we have lots_of trucks","male"
"should we get a truck from your truck bin","male"
"make a big red ball so I can make a fire+truck","male"
"it's a pickup truck but we have a cover for it","male"
"kinda like the garbage truck huh","male"
"the tow+truck's over there","male"
"you want me to get the tow+truck","male"
"just a plain old tow+truck","male"
"a plain old tow+truck which means we have to find the plain old eyes right","male"
"a plain old fire+truck","male"
"mm that's a funny looking truck","male"
"a mixed up truck","male"
"okay you gotta put the fire+hydrant on the fire+truck that's a good idea","male"
"that's neat I like that truck","male"
"that looks kinda like a circus truck because it's so colorful","male"
"a fire circus truck","male"
"yeah it looks like a circus truck to me","male"
"no matter what kind of truck it is it says there's a lot of work to do","male"
"it's a made up truck","male"
"it's Ethan's special made+up super+duper made+up truck","male"
"what noise would a circus xxx truck make","male"
"that's what noise a circus truck would make","male"
"truck","female"
"the tow+truck parts are all here","male"
"and there's a fire engine of course and the fish truck","male"
"yep we'll look for you a truck truck","male"
"truck another truck xxx","female"
"no other truck just the dumptruck","male"
"not on a tow+truck","male"
"that's a new kind of tow+truck","male"
"that looks like a circus truck again to me","male"
"circus truck needs a crazy hat","male"
"I think the circus truck needs a silly circus hat","male"
"that's a circus truck but it has","male"
"he drove through the wet road and he's hit a dump truck","male"
"now it really looks like a circus truck to me or a Pooh truck","male"
"should we play with your trucks for a little while","male"
"xxx there that's a really interesting truck huh","male"
"looks like it's the special sliding truck wee","male"
"truck you're right","female"
"xxx wanna ride in the truck","male"
"gonna wrap it around the front part of the truck","male"
"yeah when we take the dumper off it looks more like a fire+truck","male"
"sometimes lights flash on a fire+truck and that could be the lights flashing right","male"
"no it makes a noise like a truck doesn't","male"
"you said your fire+trucks were gonna go cuckoo","male"
"xxx truck","female"
"it's about fire trucks","female"
"and a truck","female"
"a truck carrying dirt yeah that's a dumptruck","female"
"truck","female"
"fire truck","female"
"what's in that dump truck","female"
"and there's a puppy in that brown truck","female"
"then he pushed the up and over bottom on his brand new power city rocker pressure dump truck","female"
"your dump truck goes","female"
"when Ruby wasn't looking Max dumped the dump truck into his pocket","female"
"that's the dump truck","female"
"a truck does it look like a truck","female"
"a truck takes the mail to the airport","female"
"the plane lands and the truck takes the mail to the post office near Molly's house","female"
"mechanics fix cars and trucks when they break down","female"
"a tow truck brings a broken down xxx the garage","female"
"and a pig in a crane too truck with a crane","female"
"truck yeah that's a","female"
"the truck and the car","female"
"I don't think daddy drives a crane but maybe the pig in the truck is a daddy","female"
"fire truck you're right","female"
"cars trucks and even a street sweeper fill the busy seats of fill the busy streets of Busy Town","female"
"Fox has a truck full of mail can you find it","female"
"a lil fire truck","female"
"your dumptruck goes back in the sandbox said Ruby","female"
"when Ruby wasn't looking Max emptied the dumptruck into his pocket","female"
"what color is the fire truck","female"
"can you drive the fire truck","female"
"whoa here comes the fire truck","female"
"here comes the fire truck","female"
"steer your truck back into the station","female"
"here comes the fire truck","female"
"there were two fire trucks out","female"
"right the truck has a a crane","female"
"right the truck xxx the the truck xxx took down the tree right","female"
"truck","female"
"truck","female"
"you're right that's a truck","female"
"cars trucks and even street sweeper fill the busy streets of busy town","female"
"and fox has a truck full of mail","female"
"a truck","female"
"she said um she was a big truck on the way to taking Don to the train","female"
"remember what we were taking daddy to the train yesterday and you saw the big truck","female"
"wha didjou say the truck had","female"
"I hope you've brought a truck with you","female"
"she has a like a truck book that's got like the dump+truck and the backhoe and the is xxx she's like the truck has a backhoe","female"
"the pig's in the fire truck right","female"
"and what's this called where the fire trucks live","female"
"where do the fire trucks live","female"
"the train says choo choo the fire trucks live in the fire house right","female"
"then he pushed the up and over button on his brand new power city rocker crusher dump truck","female"
"your dump truck goes back in the sandbox","female"
"when Ruby wasn't looking Max emptied the dump truck into his pocket","female"
"that'd be fun you can ride on the fire truck","female"
"you would like that you like fire trucks","female"
"where's your fire truck","female"
"what's on the fire truck","female"
"you struck gold","female"
"all the trucks","female"
"what type of trucks do you see","female"
"that's a dump truck","female"
"oo cars and trucks","female"
"do you wanna look at your truck book","female"
"you wanna look at your truck book","female"
"recycle truck","female"
"that night at the ball the prince met Cinderella without knowing each other's names they danced until the clock struck midnight","female"
"here comes the fire truck","female"
"steer your truck back into the station","female"
"here comes the fire truck","female"
"are you driving the fire truck","female"
"a kitty a bug and a truck","female"
"a truck","female"
"she's talking the other side of the truck it's like a four sided truck","female"
"oh he's in the truck","female"
"duck and a truck","female"
"he's a fire+truck right Revin_Evan","female"
"a truck what","female"
"a fire truck","female"
"you wanna read your truck book too","female"
"what's that truck","female"
"a dump truck","female"
"while the pumper truck pumps the water from the hydrant through the hose","female"
"the ladder truck can reach up very high","female"
"mechanics fix trucks and cars when they break down","female"
"there's a truck","female"
"a tow truck brings broken down cars into the garage","female"
"a trucker delivered none other than","female"
"then he pushed the up and over button on his brand new Power City Rocker Crusher Dumptruck","female"
"when Ruby wasn't looking Max emptied the dumptruck into his","female"
"he emptied the dumptruck all the sand into his pocket","female"
"the truck book","female"
"xxx look inside trucks","female"
"xxx moving trucks","female"
"trucks move things big and small","female"
"trucks come to rescue when there's a fire","female"
"as the fire truck rushes to help its sirens and flashing lights warn everyone to move aside","female"
"a recycling truck carries away trash but this trash will not go to a dump","female"
"he is bringing his milk jugs out to the recycling truck so they can make something out of the milk jugs","female"
"I hope you've brought a truck with you","female"
"oh yes she's pouring the jugs into the truck","female"
"let's see what other trucks we have","female"
"on the farm trucks work hard","female"
"a pick up truck may not be big but it has a powerful engine","female"
"it powdered the yard and Mrs Bear's truck","female"
"trucks help to build a new house","female"
"Mrs Bear and Sam climbed up in the truck that was green","female"
"that's right he's sitting in the truck with his mommy right","female"
"there's a teddy bear sitting in that truck","female"
"then he ran back to the truck where his mama was waiting","female"
"at each sleepy house Mrs Bear stopped the truck","female"
"that night at the ball the prince met Cinderella and without knowing each other's names they danced and danced until the clock struck midnight","female"
"oh the truck","female"
"bring the truck over here and I'll help you put this in","female"
"okay bring the truck too","female"
"bring the truck over to","female"
"where'd the truck go","female"
"where'd the truck go","female"
"did you see some trucks this morning when we got the paper","female"
"and we saw a big truckie go by","female"
"yes truckie go by","female"
"it was a big garbage truck","female"
"big garbage truck and the driver waved at us","female"
"and a truck went by","female"
"right after Daddy's car a big truck","female"
"truckie yeah","female"
"truck byebye yeah","female"
"fire truck","female"
"truck","female"
"is that fire truck gonna put out a fire","female"
"in the dump truck","female"
"right and who's the boy who was wearing the um dumptruck on his shirt","female"
"he got a little truck he got a car he got a baseball he got a baseball mitt he's opening another box","female"
"yeah how many trucks were there","female"
"three trucks","female"
"oh I think there were two trucks there were two trucks two trucks that had rainbows","female"
"oh truckie I'm sorry you said noisy truckie","female"
"noisy truckie","female"
"which truck was noisy","female"
"whose truck was noisy","female"
"trucks","female"
"saw the truck","female"
"in the big truck","female"
"boy that light is flashing on and off like a truck goes beep","female"
"there's some mice there's a boy in the rain there's a truck I don't see any koalas oh but I see a baby","female"
"and see cars n' trucks go by","female"
"we need to go check ann make sure the plumber's not waiting at the door for us can we go together to look for the plumber there might be a truck outside let's go look","female"
"hi mister plumber it's the plumber and a truck","female"
"all those kids are driving that little truck","female"
"I think he might be in his truck","female"
"her things are coming in a truck","female"
"animals get scared of things like tractors and cars and trucks big noises like that","female"
"the big truck drives down the bumpy road bumpy bumpy bumpy bumpy bumpy","female"
"the bulldozer pushes and smooths it down then the big truck heads back to town","female"
"the big truck is back at the gravel road it dumps another heavy load","female"
"what kind of noise does a truck make when it backs up","female"
"no pa did not get into that dump truck by but by mistake he got into ha he drove the car into the hole","female"
"were we looking at the truck book","female"
"we were looking at the truck book","female"
"hey where's the man in the truck","female"
"what is this what sound noise does the truck make when it backs up","female"
"look at that truck","female"
"another truckie","female"
"that truckie has an arm","female"
"that truck has an arm","female"
"he's not there he's not in the truck driving it","female"
"oh that truck is giving some dirt to that truck","female"
"that light is flashing on and off just like a truck beep goes","female"
"we can still read it there's the milk truck","female"
"there's a big truck over there with a xxx xxx","female"
"let's look at this xxx bunch of trucks here","female"
"she's using a bulldozer she's driving a special truck","female"
"that is a garbage truck","female"
"he's using a red truck called a squasher downer","female"
"this is the recycling truck","female"
"well let's see Loli is sitting in the truck this pig is bringing some bottles to be recycled","female"
"there is a lotta trucks here on this road they're working on the road","female"
"I think those trucks and those people are fixing the road","female"
"look at that truck","female"
"that truck had rugs in it","female"
"there's another truck there are so many trucks here right now","female"
"yes there's a big black truck there also","female"
"it's a truck next to us","female"
"that's a big black truck","female"
"we saw a huge truck with a white ladder and someone was way up high in the cherry picker","female"
"utility wires truck","female"
"and there's lots_of trucks","female"
"there's a very big truck right there","female"
"I think that was an oil truck","female"
"it was a very very big truck","female"
"special emergency rescue mission when you've put out the fire and rescued the people steer your truck back into the station","female"
"you hear an ambulance truck","female"
"what kind of food we want the truck to bring","female"
"you're still missing the cylinder that belongs with your truck aren't you","female"
"who's riding in that truck","female"
"they see all sorts of trucks","female"
"hey what kind of a truck is that","female"
"rabbit emptying a garbage can into the back of the truck","female"
"so what kind of truck is it","female"
"hey I think that's the garbage truck","female"
"and there's a dog who's also emptying some cans into the truck","female"
"hey that's a red white and blue truck with a picture of a stamp","female"
"that must be a mail truck","female"
"that's a truck that has a broom attached to it to make the streets clean","female"
"there's a truck for digging holes says Huckle","female"
"it's a big truck","female"
"byebye garbage truck","female"
"the truck takes the garbage to the dump","female"
"there's water in the dump+truck","female"
"oh you're talking about your toy dump+truck","female"
"she's wearing a shirt that says I love trucks","female"
"this is a pickup truck","female"
"and that's a dump truck","female"
"and look there's a present in the back of the dump truck","female"
"that's a television camera truck","female"
"uh what kind of a truck is that","female"
"even before the snow stopped falling town work crews were out with their trucks to begin a long hard job of digging out","female"
"you would read them the truck book","female"
"how about a dump truck do we ever see a dump truck at the beach","female"
"we saw a I don't know what you call it a special kind of truck for beaches","female"
"there's a car is there a truck at the beach today","female"
"this is a pickup truck","female"
"there's some trucks there","female"
"that truck","female"
"there was lots to do Arthur gave Kate a ride in a little fire truck","female"
"the words fire truck are in blue","female"
"so can you find any pictures of a fire truck","female"
"I don't see a fire truck there","female"
"alright well I don't see the fire truck that one is missing","female"
"honk honk says the truck","female"
"because we don't have a truck","female"
"truck","female"
"uh fire truck","female"
"oh maybe that's is that a fire truck","female"
"but that's a green truck","female"
"that's not a fire truck","female"
"Arthur gave Kate a ride in a little fire truck","female"
"he saw Fed_X truck while you were eating dal and yogurt","female"
"now I hear a truck","female"
"hear the truck huh","female"
"the truck over there","female"
"with those orange and purple letters that are on the truck","female"
"truck has big orange and purple letters","female"
"it just what the truck looks like","female"
"bulldozer mountain mover dumptruck","female"
"oh that's who he had the party for he had a mud party for his bulldozer mountain mover dumptruck","female"
"big truck","female"
"that's a loud truck","female"
"listen to this loud truck","female"
"beep beep beep it's the microwave and it almost sounds like a truck","female"
"now it says find the rectangle in the truck","female"
"two toy trucks","female"
"the one grandpa sent is in the truck","female"
"dyou wanna dyou wanna use the truck on some paper","male"
"moon struck","female"
"the truck","male"
"you like that truck","male"
"what color is that truck William","male"
"it is a truck and what","male"
"wanna play trucks","male"
"I see it under the fire truck","male"
"under the big fire truck","male"
"what kinda truck is that","male"
"what kind of truck is that","male"
"William's truck there what type of truck is that","male"
"it is a truck cutie loo","male"
"by the truck","male"
"maybe he wants to go for a ride in the dump+truck","male"
"yeah oh see he's goin for a ride in the dump+truck that's what he wants","male"
"yeah the dump+truck dumped Barney didn't he","male"
"the dump+truck dumped Barney","male"
"oh you gonna find another truck","male"
"oh yeah what kinda truck is that William","male"
"is that your truck can Mommy see","male"
"do you have a truck is there a truck on your shirt","male"
"do you remember what's in the truck","male"
"here's your trucks are in here","male"
"here wanna play with yer trucks","male"
"let's get some trucks","male"
"no this is a truck","male"
"that's a pick+up truck how about that","male"
"mhm what kind of truck","male"
"that's right do you know what kind of truck this is","male"
"truck","male"
"you saw a truck the other day didn't ya","male"
"this is a pickup truck","male"
"what kind of truck","male"
"how about the mail truck","male"
"this is the mail truck for this","male"
"you wanna color then I'll take the trucks away if you're gonna color on them","male"
"Duke trucks","male"
"oh you wanna show yer trucks to Duke","male"
"the dumptruck and the trucks","male"
"that's a truck","male"
"that's a truck backing up","male"
"heh the baby's getting in the way of your truck playing huh","male"
"you want the mail truck","male"
"the blue mail truck","male"
"what about yer truck","male"
"fire engine and the mail truck and the ambulance over here","male"
"ice cream truck","male"
"there's a dump truck over here too","male"
"and this is the mail truck","male"
"the white one's the ambulance and this white one see is the ice cream truck","male"
"that ice cream truck stops a lot not just at the signs","male"
"yeah what's that truck","male"
"what's that truck","male"
"a mail truck yeah","male"
"there's the ice cream truck","male"
"that is a truck","male"
"that's a cement truck","male"
"trucks right I see it","male"
"look at all these trucks","male"
"yes there's four trucks one two three four","male"
"yeah I think there are some trucks in there","male"
"there's trucks upstairs too","male"
"the truck book is upstairs the one that Evan got for you","male"
"well well we could play with these trucks too","male"
"ya wanna get your truck book out","male"
"we can color some trucks","male"
"would ya like to color some trucks","male"
"what is this red truck","male"
"do ya wanna look at some trucks","male"
"can ya tell mommy what the trucks are","male"
"is that a semi truck","male"
"what kind of a truck is that","male"
"it is a truck xxx","male"
"yeah it's a monster truck","male"
"remember you used to call it a Cookie Monster truck","male"
"yeah it's a monster truck","male"
"a cement truck","male"
"yeah that's yeah a big dumptruck William that's right","male"
"it's a logging truck because see it has the logs on it","male"
"that one's an oil tanker truck","male"
"that's a tow truck","male"
"that one's a delivery truck","male"
"a garbage truck yes","male"
"because it looks like a dumptruck","male"
"because it is it's a dumptruck with a snow plow","male"
"because the the dumptruck looks like it's kind of a crane","male"
"and this is a page where you can build your own truck","male"
"some cars carry trucks","male"
"just like the trucks right","male"
"you see that blue box over there where all your little trucks go your little cars","male"
"xxx drive a pick+up truck William","male"
"oh you want me to drive a pick+up truck","male"
"are you gonna play with the dumper the pick+up trucks","male"
"oh you have a blue pick+up truck right there look","male"
"that's a pick+up truck xxx","male"
"you have some other trucks","male"
"can the bulldozers fit in the back of the pick+up truck","male"
"you have lots_of trucks in here","male"
"xxx big pick+up truck huh","male"
"yeah what kind of a truck","male"
"that a cement truck","male"
"what kind of a truck is this one","male"
"ya wanna read the trucks","male"
"ya don't wanna read the trucks","male"
"oh you want you want mommy to read the trucks","male"
"yes it's a truck book","male"
"oh you're gonna put a fire engine in the dumptruck","male"
"yeah well this is a dumper and this is a dumptruck","male"
"Bob the builder uses saws and all kinds of tools and all kinds of trucks xxx","male"
"what kind of truck is that","male"
"these are busy town trucks William","male"
"what color is the pickup truck","male"
"what color is that truck","male"
"but what type of truck is that","male"
"maybe put some in your dump+truck","male"
"oh yeah it's a mail truck","male"
"a fuel truck","male"
"it's an airport truck","male"
"I have a red truck for you","male"
"how about how about the red truck","male"
"this one is is concrete mixer truck","male"
"it is it's a big truck","male"
"well come on let's go play with your trucks","male"
"William has his truck","male"
"truck shirt on","male"
"well do you think maybe we should put some of the trucks away again if we're gonna leave tracks we have enough room to keep the trucks there","male"
"well let's put some of your trucks away","male"
"oh wait William you can't bring the truck xxx until xxx the track hold on","male"
"ah is that a truck","male"
"that looks like a truck to me","male"
"that's a mail truck","male"
"oh are you riding are you going to ride your truck","male"
"some trucks","male"
"well we could go the there's some trucks at the the children's museum","male"
"with the construction trucks","male"
"oh I don't think that's for the constructor truck I think the constructor truck can be out here with the loader","male"
"do you have friends in your class that like trucks also","male"
"who likes trucks","male"
"who else likes trucks who do you play with","male"
"xxx oh I don't know I don't know if a truck sounds like that","male"
"you drive a truck","male"
"to be a truck","male"
"it's a cement truck that's right","male"
"would you like to go to the children's museum and play with the construction trucks there","male"
"remember there's all kinds of trucks there","male"
"okay no construction trucks","male"
"okay fine no construction trucks that's fine","male"
"gonna go in the xxx we're gonna go in the car we're gonna go in the truck actually the van","male"
"or we can put the trucks up or we can put signs up","male"
"you see all the dirt from that truck that you brought in from outside","male"
"xxx play with trucks","male"
"oh William this truck should not have been left outside","male"
"this is not an this was not an outside truck","male"
"nope it shouldn't have it shouldn't this should not have been an outside truck this should have been an in inside truck","male"
"this is not an outside truck either there buddy","male"
"this is William's table right here his train table filled with trucks and trains","male"
"trucks and trains","male"
"William I don't think that's a truck in front of the house though honey","male"
"I did hear it I heard that truck","male"
