"gloss","target_child_sex"
"and here's the shovel","male"
"yeah he has a shovel","male"
"first we have to make the shovel right","male"
"because every digger has a shovel","male"
"there's the shovel","male"
"its shovel stayed behind","male"
"what happened to the shovel","male"
"pail and a shovel","male"
"this shovel opens and closes but this one doesn't do that","male"
"xxx a shovel and a pick axe","male"
"xxx I think he's shoveling the snow yeah","male"
"a backhoe has two shovels","male"
"oh in the park look a bucket and a shovel","female"
"shovel","female"
"oh that he's got a shovel","female"
"early next morning when Norman went outside to shovel away snow in front of his doorway","female"
"with the big shovel","female"
"Mister Brown removed a shovel handle from his left ear","female"
"that is called a tractor shovel","female"
"wow she's got a big shovel","female"
"shovel","female"
"did xxx and you shovel some rocks today","female"
"I bet you shoveled a lot of rocks","female"
"did you shovel a lot of rocks","female"
"thank you this is the shovel","female"
"can we shovel some legos or something like that","female"
"wanna shovel legos","female"
"oh there is a picture of a shovel in here somewhere","female"
"she has a shovel","female"
"yeah there's a shovel and there's rocks and I bet she will shovel some rocks","female"
"it's a shovel","female"
"just like your shovel","female"
"hand yeah you put a shovel in your hand","female"
"yeah a boy and he's got a shovel","female"
"and a shovel","female"
"and there's the shovel","female"
"shovel rake and a hoe","female"
"on a shovel","female"
"yeah you've got the shovel and the rake","female"
"you giving me the shovel","female"
"I am raking the rocks into the shovel","female"
"see how I'm raking into the shovel","female"
"the rake helps me put things into the shovel","female"
"d'you want your shovel back by the way","female"
"that big shovel didn't we use the big one","female"
"big shovel","female"
"bye bye shovel","female"
"you're reminding me that there was a shovel in the laundry","female"
"and we found a yellow shovel in the laundry the other day right","female"
"this is the shovel and this is the hoe","female"
"and shovels remember that table that had the sand and the","female"
"shovels","female"
"oh no he went into Roger Rhino's power shovel","female"
"with that someone who took his power shovel","female"
"he's bringing the pig's car back to them cause he wants to get his steam shovel","female"
"pa pig took the steam shovel by accident","female"
"she is very surprised and looks like Loly Worm's right here in the maw of the steam shovel","female"
"the steam shovel is almost knocking her over","female"
"those are the pig children they are watching their daddy drive the steam shovel","female"
"I see a shovel","female"
"shovel","female"
"shovel","female"
"shovel shovel","female"
"a shovel","female"
"she's got a shovel and a bucket too","female"
"why does she have a shovel and a bucket","female"
"and with the shovel the shovel","female"
"have you got some rocks in that shovel","female"
"didjou wanna give the shovel to xxx","female"
"I think she has her own shovel","female"
"are you having trouble with that shovel","female"
"it's a very small shovel isn't it","female"
"bye bye shovel","female"
"Naima what color is your shovel","female"
"you need the shovel","female"
"Naima shoveling rocks","female"
"one two three four shovels nope","female"
"that tractor sounds like a train","male"
"the mean train what's he gonna get","male"
"mean train yes","male"
"I don't know if Erin knows the story of the mean train can you tell her what happened to the mean train","male"
"chasing the lady train yes","male"
"chasing the lady train and who else","male"
"what's the other name for the mean train","male"
"what's the mean train got here","male"
"mean train","male"
"now where might the mean train be","male"
"mean train hm","male"
"did we take a train","male"
"do you remember we took a train","male"
"we took a train we sure did","male"
"did you like did you like ah riding on the train","male"
"maybe mean train is in here","male"
"oh you're pointing to the train yeah","male"
"you should do the train one now","male"
"it goes in the train puzzle that is true","male"
"what had happened to Diesel train","male"
"a train a whole train was under there","male"
"well you had your train set up some of the time","male"
"remember what we've been playing with your train a little bit and","male"
"it's sposta be the train go on there yeah it is sposta be the train","male"
"now do you think this this part of a train or part of a car or what","male"
"what kind of train is Daisy","male"
"you rode the elevator and the escalator and the train","male"
"is that a choo_choo train","female"
"that's a choo_choo train","female"
"she rode the choo_choo train at the zoo didn't she","female"
"no choo choo train","female"
"it's a train","male"
"he told me the whole story of the train ride the trolley ride and then down and then I the subway and downstairs and oh gosh did you walk far first a few people go off then a few more people could get off and then a few more people got off and then you got off right","male"
"would you like to set up your train","male"
"would you like to set up your train","male"
"uh xxx no it's a train track it's not a telephone","male"
"those are all your trains","male"
"can Mommy have a train","male"
"here's a train to toot here's a duck to squeak","male"
"I like these trains I wish you'd let me fix the track for you","male"
"look look at your trains","male"
"where's your other train","male"
"alright let's do some train xxx","male"
"would you like to build some trains","male"
"okay can I build some trains","male"
"c'mon honey would you like to play with your train","male"
"a train","male"
"what's a train say","male"
"oh the train","male"
"the train fell","male"
"a little wooden train","male"
"now where's the train","male"
"would you like to fix your train now","male"
"here you have to put her in put her in her train","male"
"give Mommy the train","male"
"this is all your puzzle pieces all your train stuff","male"
"that's a big train","male"
"I think they went to go buy you a train table","male"
"here comes the train","male"
"the train fell","male"
"wow oh he's pushing the train","male"
"do you see the train","male"
"where is the train coming to see Alex","male"
"no don't get me train","male"
"don't you get me train don't you get me train no no no no no no pull pull","male"
"has anybody seen the train","male"
"is the train going through the tunnel","male"
"do you see the train","male"
"don't get me train","male"
"Mommy's turn to push the train on the tracks","male"
"seven trains","male"
"the train came off the track","male"
"and your strainer","male"
"a train or a truck","male"
"what's a train say","male"
"here move your puzzle so you can play with your train","male"
"like part of the train","male"
"for the train","male"
"xxx how you line up your train","male"
"oh your train set's in here that's nice","male"
"that's your train track","male"
"does that go to the train","male"
"that part of the train","male"
"oh where's your trains","male"
"what happened to the train","male"
"go get your trains","male"
"get your trains","male"
"where's your trains","male"
"but you're in deep concentration when you play with your train","male"
"come over here and fix your train and I'll go get it","male"
"comon I'll go get your juice fix your train and I'll go get your juice","male"
"here's your other train","male"
"Alex look at this train","male"
"I thought you went to buy a train table","male"
"I said I said Alex I don't know where Gigi and Daddy are I said but I hope they're buying you a train table for Christmas","male"
"now xxx part of your train honey","male"
"where did the train go","male"
"I'm gonna play with your trains","male"
"alright let's put the train in here","male"
"okay well let's play with your trains","male"
"but where's the train","male"
"do they have any train tables","male"
"look they have a farm and they have a a little train but you have one of the the little trains already","male"
"you could make a whole train Alex","male"
"where's your train","male"
"would you like me to get your train","male"
"go sit down I'll get your train","male"
"would you like your train","male"
"onea your trains","male"
"and get your trains ready","male"
"this is a cute train","male"
"I'm gonna have to get you a new battery train","male"
"look it see Alex it's too many trains","male"
"alright you ready to build your train","male"
"alright you take all your trains and put them in a pile","male"
"very nice train making","male"
"now we need some more tracks let's make a really big train","male"
"cuz when the train tries to come","male"
"can I put him on the train","male"
"here comes Daddy you have to show him your train","male"
"Daddy mixed the good trains with the crummy trains","male"
"no you leave the train leave the train","male"
"no we'll play trains over here if you like","male"
"would you like to play trains over here","male"
"I'll get your trains","male"
"this train track is really big","male"
"near your trains and eat your apple","male"
"you have to figure out a way to glue this train","male"
"wait a minute I'm trying to finish the train so I can pass it to you","male"
"what's that big pile of trains over there","male"
"can we give the train a break so we don't use the battery","male"
"let's give it a break because the train's probably so tired from pulling the other ones","male"
"here is the safari train I'm traveling through the rainforest woo","male"
"what about these trains","male"
"get a xxx get a lighter get a lighter train","male"
"get the milk train","male"
"I'm gonna hafta get you some more battery trains","male"
"lookit wee it's xxx go the other way the train is so smart","male"
"where's your green train","male"
"I built your train track for you","male"
"careful of your train","male"
"trains","male"
"here's your other train pieces","male"
"put him in his little train","male"
"Alex fix your train","male"
"alright I'm gonna shut off the train if you're all done","male"
"watch just watch the train","male"
"but you don't hafta move the train Alex the train will go all by itself","male"
"well then I'll play over here by myself with this train","male"
"Alex look at where's your other green train","male"
"are you all done with your train","male"
"Alex put your train away first","male"
"bring the trains on this side please","male"
"put your train away first please","male"
"put your train","male"
"are you gonna share any of these trains with me","male"
"are you gonna can Mommy have a train","male"
"could I have a train","male"
"a train","male"
"xxx don't take my trains","male"
"no you can't take my trains aren't you gonna share with me","male"
"thank you for the pirate train","male"
"here comes the train","male"
"here comes the train","male"
"I'm gonna shut off the train","male"
"alright give Mommy your trains","male"
"that's quite the big train you have there","male"
"come back train come back","male"
"look at that little train how cute he is","male"
"train book yeah","male"
"you wanna see the train again","male"
"yeah this is a train a green train","male"
"that's a choo choo train that's right","male"
"you want your book about the train","male"
"he did a big day in the train yard","male"
"the train yard is ready","male"
"he's giving the train a bath","male"
"there's the train Ethan the choo choo train","male"
"they say bye bye train","male"
"bye bye train","male"
"I love trains","male"
"George likes trains too","male"
"trains trains","male"
"I like trains","male"
"I like trains that hoot and roar as they rumble by my door","male"
"but the best car's at the end and as the train goes around the bend what's that","male"
"and he's waving at his daddy on the train","male"
"trains trains I love trains","male"
"there's the train","male"
"they say bye bye train","male"
"bye bye train","male"
"train","male"
"you wan a book about trains","male"
"let's find the train book","male"
"where's the train book","male"
"train","male"
"here's the train book","male"
"I love trains","male"
"there was another train book in here here it is","male"
"I'm taking a trip on the train","male"
"I'm taking a trip on my train","male"
"I'm the engineer and I'm taking a trip on my train chugga chugga chugga choo choo woo woo","male"
"I'm the engineer and I'm taking a trip on my train","male"
"train woo woo","male"
"I'm the engineer and I'm taking a trip on my train woo woo","male"
"and I'm taking a trip on my train woo woo","male"
"train you wanna finish the book","male"
"I'm an engineer and I'm taking a trip on the train","male"
"I'm an engineer and I'm taking a trip on my train woo","male"
"it's too big the train's too big this is a small tunnel","male"
"the train is too big sweetie","male"
"the train is going going gone","male"
"and I'm taking a trip on my train","male"
"I'm taking a trip on my train","male"
"and I'm taking a trip on my train","male"
"look at the little boy and the little girl their playing with trains","male"
"when I wear my striped I'm the engineer and I'm taking a trip on my train","male"
"right it makes the train stop","male"
"it's a train is going chug a chug a chug a chug a chug a chug a stop","male"
"do we put your train away","male"
"it's a big day in the train yard","male"
"the train yard is ready","male"
"train woo hoo","male"
"that's a train too yeah","male"
"there's the train song there's Big Bird's song","male"
"train song that was the train song","male"
"uhhuh and the train is going on the track","male"
"uhhuh that was the train song","male"
"train song yeah","male"
"and I'm taking a trip on my train woo hoo","male"
"when you wear your striped hat Ethan's an engineer and he's taking a trip on his train","male"
"oops let's play with the train","male"
"there goes your train","male"
"there goes your train","male"
"let's play with your train","male"
"the train goes down the track woo woo","male"
"train goes down","male"
"you put the little train in the loader","male"
"right there's a breakdown train you're right","male"
"now we have the regular train","male"
"mhm train mice","male"
"people who work on the train","male"
"train mice going down the track clickety+clack clickety+clack","male"
"down at the station early in the morning see the little puffer train","male"
"did mommy make those trains fall down","male"
"look they're all climbing in the train","male"
"I'm a little choo choo train chugging down the track","male"
"Gordon stopped the train","male"
"get off the train","male"
"all aboard means get on the train","male"
"the conductor calls the people to get on the train","male"
"remember how he picked up the train yesterday by the wheel and the train was hanging upside down","male"
"yup you can go on a trip on a train too","male"
"e v a n train","male"
"yep the train board that's right okay","male"
"I do not like it on a train I do not like it in the rain","male"
"xxx the break down train","male"
"look they built a train","male"
"some kind of little train","male"
"now it needs a break down train","male"
"does that look like a train","male"
"yeah it's like a train","male"
"smoke coming out of the train yes","male"
"oh it's carrying the i to the train","male"
"and then is the i going to ride the train","male"
"t for train","male"
"t for train","male"
"okay it goes back to the train","male"
"your trains and tracks","male"
"tracks and trains","male"
"in the car train","male"
"in the car train","male"
"what page do you want to see uhoh you wanna do the train one","male"
"xxx make a very long train","male"
"train book","male"
"along came the little train","male"
"but all at once at the foot of the mountain the little train stopped","male"
"it's a train","male"
"yup looks a bit like a train","male"
"please little blue engine cried all the dolls and toys won't you pull our train over the mountain","male"
"the little blue engine hitched herself to the train","male"
"slowly the little blue engine began to move I think I can I think I can I think I can and up the mountain she went with a train full of toys","male"
"should we put the train tracks up","male"
"finally the train reached the top of the mountain","male"
"it is it's a very colorful train huh","male"
"just like on a train","male"
"you wanna play with the toy trains should we put the ambulance in the hospital","male"
"you wanna make some tracks for the train","male"
"caboose too big we need the little train we need the tender","male"
"and a tanker train","male"
"there're tanker trucks and tanker cars on trains","male"
"here's the train","male"
"Ethan's riding the train","male"
"yeah Ethan's riding the train he's the engineer","male"
"uhhuh Ethan's riding the train","male"
"and puts it on trains","male"
"and the trains take it to all kinds of places","male"
"Chuffy was a train","male"
"where's the train there it is","male"
"it's a long train","male"
"are you pushing me are we a train","male"
"that's so the other trains don't cross the track when the train is coming through","male"
"Ethan drives the train he's the engineer","male"
"is that where the trains are gonna be on that piece of wood","male"
"the fish riding the train and now you're eating it","male"
"a train","male"
"you wanna read a train book","male"
"he needs the break down train","male"
"yeah it's a whole line of trains and cars all in a row","male"
"yeah train and a doll","male"
"there's the train whistle","male"
"we have the train whistle","male"
"it sounds like a train","male"
"I think we put the train whistle in another bin","male"
"where is that train whistle","male"
"where did that train whistle go","male"
"mhm there's a train","male"
"wanna look at the train book","male"
"xxx xxx your other books the trains are running here is a train","male"
"gonna get the train","male"
"there goes a freight train","male"
"make the train sound","male"
"there is an electric train yup","male"
"the train passes by","male"
"there is nothing a train cannot do Thomas said proudly","male"
"here's a train station","male"
"the train whoa","male"
"maybe he can drive because Buster Butch is not a train he's a car","male"
"there goes the train speeding away","male"
"bye bye train","male"
"bye bye train book","male"
"a bus is as good as a train he said","male"
"a bus is as good as a train the people said","male"
"then they walked down the road to another train station","male"
"but the trains were not running","male"
"no trains yep","male"
"other end of the train","male"
"oh he's on the breakdown train","male"
"xxx on this side of the train","male"
"except it was Henry not Percy there he goes he's on the break down train","male"
"now who's gonna pull the breakdown train","male"
"so no train could move up","male"
"oof oof oof you're a heavy little train Percy","male"
"we have the train brush wanna scrub him","male"
"where's the train brush","male"
"I guess there are some things a train cannot do said Thomas's driver","male"
"it's a whole stack so Rusty's pushing Percy onto the freight on the breakdown train","male"
"he's pushing Percy right onto the breakdown train","male"
"is as good as a train said Harold","male"
"a crane is as good as a bus or a train","male"
"you like dragons and trains I know you like trains","male"
"I thought there was nothing a train could not do said Thomas","male"
"a train is only as good as its track","male"
"trains","male"
"you wanna read about potties and trains","male"
"how about the potty train","male"
"get on the potty train","male"
"get on the potty train","male"
"you can play with your train station","male"
"you like potties and trains I'm glad you like potties","male"
"you trying to put the dragon on the train","male"
"remember the dinosaur train book","male"
"the dinosaur was on top of the train like that","male"
"dragons and trains and dragons and trains","male"
"you like George and George isn't a train oh you like trucks","male"
"a subway is like a train underground see","male"
"a train","male"
"train wheels","male"
"half train half truck","male"
"half train half tractor","male"
"half tractor half train","male"
"train","male"
"well you know what caterpillars change into butterflies so a truck with caterpillar tracks can change into a train","male"
"wanna change it to a train it got a little stuck huh","male"
"please please help us our train has broken down","male"
"I think a train should pull a milk tanker so that this milk truck can get some milk where's your milk tanker","male"
"let's tie it onto the train","male"
"can we tie it onto the back of the train","male"
"mm you're gonna get this train table all yicky","male"
"there we go now let's make the train go","male"
"balloon train","male"
"you could carry your trains in there","male"
"we're gonna put a train on your head","male"
"the train","male"
"electric train on your head and your hair got all caught up and you cried and you cried and you cried","male"
"you can only put trains on your head when the wheels aren't turning","male"
"half tractor half train","male"
"half tractor half train","male"
"and then it will be train I mean tractor","male"
"and Peter Sam begins with p too two xxx p trains pulling each other","male"
"not a train anymore","male"
"you want Thomas the train Thomas","male"
"an urgent package needs a speedy train said Gordon I'm","male"
"I'm the fastest train here so I will have to take the package","male"
"train after train after train after train is falling off the bridge","male"
"of broken down trains","male"
"you're driving the train and then we're the passengers","male"
"there's his train he likes trains just like you do","male"
"it does look like the train in the park yeah","male"
"we're always making trains let's make the airplane","male"
"there's his train again","male"
"how many cars does this train have","male"
"okay you can rest with your train","male"
"a bus is as good as a train","male"
"then we could be the train crew right","male"
"xxx for the train crew","male"
"we know a couple train songs","male"
"I'm a little choo_choo train chugging down the track","male"
"he's taking a train nap","male"
"two train pictures","male"
"if the train should","male"
"two break down train","male"
"because sometimes you get dusty when you drive a train","male"
"you want your train which train","male"
"the train we made","male"
"the train we didn't make mister opposites","male"
"I think she's a pretty train don't you","male"
"you're the freight train","male"
"did he have a good ride on the train","male"
"get your feet out of the way because there's a train coming through","male"
"oh he's tired of riding the train","male"
"why are they on your train table why are they on your train table","male"
"one little train was a","male"
"tiny old train","male"
"the other train was a stream lined train","male"
"should we make the train sound","male"
"that's what a train sounds like clicking down a track","male"
"trains","male"
"it makes a lotta noise when a train goes over a bridge","male"
"the train on top of the tower xxx xxx xxx whoa","male"
"this one's still attached to the train isn't it","male"
"all clear train coming through with a balloon on the back","male"
"you're sliding under the train table","male"
"let the train","male"
"did you have fun yesterday taking the train Ethan be careful of the tripod please","male"
"I would not eat them on a train I would not eat them in the rain","male"
"I would not eat them in a train","male"
"that was the first train you ever got","male"
"there is a bell on the train that's right","male"
"your second train was xxx","male"
"there's a pussy cat on the train","male"
"and you can drive the train","male"
"hook the train up yeah sometimes a tow truck can hook the train up too","male"
"your trains are upstairs","male"
"we have one train down here","male"
"your big blue train","male"
"I don't see a train","male"
"xxx this train xxx","male"
"if the train should hit the track","male"
"that's right train gonna get your mommy's back","male"
"the picture of you driving the train","male"
"or three trains","male"
"you slept with your train last night Ethan","male"
"cause when you cut down a tree then you get logs and we have a log on your train table somewhere","male"
"we could even mix it up with the trains too","male"
"uhoh train's off the track","male"
"oh a train","female"
"he can xxx pull one of the trains if he wants","male"
"a train dump xxx","male"
"mhm the dump train","male"
"dump train going down the road dump train haul","male"
"dump train hauling something on its back","male"
"a half a train","male"
"so that the trains traveling on this track can go through because the bridge is too short so the drawbridge has to lift up","male"
"and when it goes up the train can pass through","male"
"and train is also a t","male"
"edge of the train table","male"
"yeah xxx at the edge of the train table","male"
"like for a train","male"
"there now we have a nice oval track for your trains to go all the way around","male"
"that's a train who rides on a train","female"
"daddy rides on a train to work","female"
"Maisy drives a train","female"
"yeah like a train you're right very much like a train","male"
"that's the baggage train again","male"
"and it looks like a train a little bit right","male"
"that baby's playing with a train","female"
"look that baby has a lil train","female"
"she can train a baboon","male"
"mm train a baboon xxx","male"
"train","female"
"and what's coming out of the train","female"
"station right train station","female"
"that is a lot of pieces of train track","female"
"choo_choo train","female"
"and the choo_choo train has smoke coming out of it","female"
"is that a happy train","female"
"train train","female"
"should we put our train track back together honey","female"
"and I think that she is waiting for the train","female"
"xxx she's waiting for the train to come","female"
"where did the train go","female"
"I think the train's inside you wanna bring it in","female"
"there is a sign on the train","female"
"who takes the train","female"
"and where does Daddy take the train to where does Daddy work","female"
"I think someone might get hit by that train","female"
"she's waiting for the train that's coming","female"
"a train bye bye train","female"
"bye bye train","female"
"bye bye train","female"
"he takes the train","female"
"who drives Daddy to the train","female"
"who takes Daddy to the train in the morning","female"
"don't Mommy and Lily take Daddy to the train in the morning","female"
"you wanna play with your trains honey","female"
"ooh the train","female"
"who takes the train","female"
"who takes the train in the morning","female"
"Daddy where does he go on the train","female"
"you wanna play with your trains honey","female"
"he goes on the choo choo train","female"
"but where is he going when he gets on the train","female"
"sweetie pie wanna play with your trains","female"
"oo look there's your lil apple train over there","female"
"oh you fixed the train track","female"
"puppy and for the grand finale madam Olivia and her trained dogs","female"
"what is that honey that the train goes through","female"
"do you wanna show Manuela your trains honey","female"
"here's a little train honey","female"
"you want some more trains","female"
"well I'll just I'll move the train track","female"
"um you know maybe I'll put the train track away and bring it out in a coupla months it'll seem like a new toy to her","female"
"you wanna put the train in the tunnel","female"
"wow the train's on the sit and spin","female"
"do you want me to put some of the train tracks away honey","female"
